tool,model,lang,device,song,WER,CER,rtf,substitutions,deletions,insertions
Whisper,small,auto,cpu,BLA01,1.5056818181818181,1.3633295838020247,0.4364330975976154,38,6,221
Whisper,small,auto,cpu,BLA02,1.6780715396578538,1.5119189511323003,0.723405414164409,206,30,843
Whisper,small,fr,cpu,BLA01,1.5511363636363635,1.3745781777277841,0.30828847838144824,46,1,226
Whisper,small,fr,cpu,BLA02,1.6889580093312597,1.5592967818831942,0.7171193277650091,217,30,839
Vosk,vosk-model-small-fr-0.22,N/A,cpu,BLA01,1.4488636363636365,1.1541057367829022,0.18754549023248773,63,9,183
Vosk,vosk-model-small-fr-0.22,N/A,cpu,BLA02,1.4105754276827371,1.081942789034565,0.43187217834386704,322,90,495
Vosk,vosk-model-fr-0.22,N/A,cpu,BLA01,1.4204545454545454,1.1226096737907763,0.586555940214566,65,8,177
Vosk,vosk-model-fr-0.22,N/A,cpu,BLA02,1.43701399688958,1.1439213349225268,0.49827733084237946,295,54,575
Wav2Vec2,facebook/wav2vec2-base-960h,N/A,cpu,BLA01,1.8863636363636365,1.1833520809898763,0.1563366541763653,161,0,171
Wav2Vec2,facebook/wav2vec2-base-960h,N/A,cpu,BLA02,2.018662519440124,1.1853396901072706,0.346224201628566,611,0,687
